Species;Species_ID;Colony;Prec;Frg_n;Treatment;Day;Tank_n;Region;F;Fm;YII;obs;Survived_day;Status
Montipora digitata;Mdi;B;VT;4;Heat;15;Tank_C6;Indonesia;0,672;1,627;0,587;1;30;1
Montipora digitata;Mdi;B;VT;4;Heat;15;Tank_C6;Indonesia;0,777;1,905;0,592;2;30;1
Montipora digitata;Mdi;B;VT;4;Heat;15;Tank_C6;Indonesia;0,639;1,501;0,574;3;30;1
Montipora digitata;Mdi;A;VT;4;Heat;15;Tank_C6;Indonesia;0,590;1,446;0,592;1;30;1
Montipora digitata;Mdi;A;VT;4;Heat;15;Tank_C6;Indonesia;0,688;1,645;0,582;2;30;1
Montipora digitata;Mdi;A;VT;4;Heat;15;Tank_C6;Indonesia;0,698;1,651;0,577;3;30;1
Montipora digitata;Mdi;C;ST;3;Control;15;Tank_C6;Indonesia;0,510;1,175;0,566;1;30;1
Montipora digitata;Mdi;C;ST;3;Control;15;Tank_C6;Indonesia;0,409;0,945;0,567;2;30;1
Montipora digitata;Mdi;C;ST;3;Control;15;Tank_C6;Indonesia;0,790;1,920;0,589;3;30;1
Montipora digitata;Mdi;A;VT;3;Control;15;Tank_C6;Indonesia;0,654;1,556;0,580;1;30;1
Montipora digitata;Mdi;A;VT;3;Control;15;Tank_C6;Indonesia;0,694;1,703;0,592;2;30;1
Montipora digitata;Mdi;A;VT;3;Control;15;Tank_C6;Indonesia;0,709;1,719;0,588;3;30;1
Montipora digitata;Mdi;A;ST;3;Control;15;Tank_C6;Indonesia;0,595;1,453;0,591;1;30;1
Montipora digitata;Mdi;A;ST;3;Control;15;Tank_C6;Indonesia;0,634;1,539;0,588;2;30;1
Montipora digitata;Mdi;A;ST;3;Control;15;Tank_C6;Indonesia;0,661;1,642;0,597;3;30;1
Montipora digitata;Mdi;B;VT;3;Control;15;Tank_C6;Indonesia;0,703;1,698;0,586;1;30;1
Montipora digitata;Mdi;B;VT;3;Control;15;Tank_C6;Indonesia;0,572;1,321;0,567;2;30;1
Montipora digitata;Mdi;B;VT;3;Control;15;Tank_C6;Indonesia;0,818;1,924;0,575;3;30;1
Montipora digitata;Mdi;D;ST;3;Control;15;Tank_C6;Indonesia;0,645;1,650;0,609;1;30;1
Montipora digitata;Mdi;D;ST;3;Control;15;Tank_C6;Indonesia;0,613;1,502;0,592;2;30;1
Montipora digitata;Mdi;D;ST;3;Control;15;Tank_C6;Indonesia;0,698;1,761;0,604;3;30;1
Montipora digitata;Mdi;B;ST;3;Control;15;Tank_C6;Indonesia;0,760;1,714;0,557;1;30;1
Montipora digitata;Mdi;B;ST;3;Control;15;Tank_C6;Indonesia;0,633;1,335;0,526;2;30;1
Montipora digitata;Mdi;B;ST;3;Control;15;Tank_C6;Indonesia;0,536;1,195;0,551;3;30;1
Montipora digitata;Mdi;C;ST;4;Heat;15;Tank_C6;Indonesia;0,587;1,227;0,522;1;30;1
Montipora digitata;Mdi;C;ST;4;Heat;15;Tank_C6;Indonesia;0,402;0,932;0,569;2;30;1
Montipora digitata;Mdi;C;ST;4;Heat;15;Tank_C6;Indonesia;0,518;1,125;0,540;3;30;1
Montipora digitata;Mdi;C;VT;4;Heat;15;Tank_C6;Indonesia;0,559;1,275;0,562;1;30;1
Montipora digitata;Mdi;C;VT;4;Heat;15;Tank_C6;Indonesia;0,658;1,451;0,547;2;30;1
Montipora digitata;Mdi;C;VT;4;Heat;15;Tank_C6;Indonesia;0,748;1,696;0,559;3;30;1
Montipora digitata;Mdi;C;Ambient;3;Control;15;Tank_C6;Indonesia;0,652;1,545;0,578;1;30;1
Montipora digitata;Mdi;C;Ambient;3;Control;15;Tank_C6;Indonesia;0,647;1,539;0,580;2;30;1
Montipora digitata;Mdi;C;Ambient;3;Control;15;Tank_C6;Indonesia;0,698;1,672;0,583;3;30;1
Montipora digitata;Mdi;A;ST;4;Heat;15;Tank_C6;Indonesia;0,808;1,898;0,574;1;30;1
Montipora digitata;Mdi;A;ST;4;Heat;15;Tank_C6;Indonesia;0,519;1,087;0,523;2;30;1
Montipora digitata;Mdi;A;ST;4;Heat;15;Tank_C6;Indonesia;0,766;1,486;0,485;3;30;1
Montipora digitata;Mdi;A;Ambient;3;Control;15;Tank_C6;Indonesia;0,790;1,649;0,521;1;30;1
Montipora digitata;Mdi;A;Ambient;3;Control;15;Tank_C6;Indonesia;0,834;1,707;0,511;2;30;1
Montipora digitata;Mdi;A;Ambient;3;Control;15;Tank_C6;Indonesia;0,795;1,805;0,560;3;30;1
Montipora digitata;Mdi;D;Ambient;3;Control;15;Tank_C6;Indonesia;0,790;1,759;0,551;1;30;1
Montipora digitata;Mdi;D;Ambient;3;Control;15;Tank_C6;Indonesia;0,771;1,617;0,523;2;30;1
Montipora digitata;Mdi;D;Ambient;3;Control;15;Tank_C6;Indonesia;0,718;1,679;0,572;3;30;1
Montipora digitata;Mdi;B;Ambient;3;Control;15;Tank_C6;Indonesia;0,932;1,964;0,525;1;30;1
Montipora digitata;Mdi;B;Ambient;3;Control;15;Tank_C6;Indonesia;0,756;1,442;0,476;2;30;1
Montipora digitata;Mdi;B;Ambient;3;Control;15;Tank_C6;Indonesia;0,685;1,485;0,539;3;30;1
Montipora digitata;Mdi;D;VT;3;Control;15;Tank_C6;Indonesia;0,838;1,838;0,544;1;30;1
Montipora digitata;Mdi;D;VT;3;Control;15;Tank_C6;Indonesia;0,719;1,665;0,568;2;30;1
Montipora digitata;Mdi;D;VT;3;Control;15;Tank_C6;Indonesia;0,676;1,503;0,550;3;30;1
Montipora digitata;Mdi;C;VT;3;Control;15;Tank_C6;Indonesia;0,981;1,712;0,427;1;30;1
Montipora digitata;Mdi;C;VT;3;Control;15;Tank_C6;Indonesia;0,584;1,234;0,527;2;30;1
Montipora digitata;Mdi;C;VT;3;Control;15;Tank_C6;Indonesia;0,472;0,931;0,493;3;30;1
Montipora digitata;Mdi;D;ST;4;Heat;15;Tank_C6;Indonesia;0,774;1,830;0,577;1;30;1
Montipora digitata;Mdi;D;ST;4;Heat;15;Tank_C6;Indonesia;0,527;1,151;0,542;2;30;1
Montipora digitata;Mdi;D;ST;4;Heat;15;Tank_C6;Indonesia;0,753;1,696;0,556;3;30;1
Montipora digitata;Mdi;B;ST;4;Heat;15;Tank_C6;Indonesia;0,822;1,966;0,582;1;30;1
Montipora digitata;Mdi;B;ST;4;Heat;15;Tank_C6;Indonesia;0,790;1,720;0,541;2;30;1
Montipora digitata;Mdi;B;ST;4;Heat;15;Tank_C6;Indonesia;0,748;1,492;0,499;3;30;1
Montipora digitata;Mdi;A;Ambient;4;Heat;15;Tank_C6;Indonesia;0,000;0,000;0,000;1;10;2
Montipora digitata;Mdi;A;Ambient;4;Heat;15;Tank_C6;Indonesia;0,000;0,000;0,000;2;10;2
Montipora digitata;Mdi;A;Ambient;4;Heat;15;Tank_C6;Indonesia;0,000;0,000;0,000;3;10;2
