t,Date,Exp_date,Day,Time,ID,Species_ID,Species,Colony,Prec,Tank_n,Treatment,Meas_type,Frg_n,ML,F,Fm,YII,obs,Survived_day,Status,Region,Year
3848845562,2021-12-16,Day0,0,19:46:02,Amu_D_Control_01,Amu,Acropora muricata,D,Ambient,Tank_1,Control,Dark,01,10,0.495,1.563,0.683,1,NA,NA,Indonesia,NA
3848845594,2021-12-16,Day0,0,19:46:34,Amu_C_Control_01,Amu,Acropora muricata,C,Ambient,Tank_1,Control,Dark,01,10,0.573,1.723,0.667,1,NA,NA,Indonesia,NA
3848845744,2021-12-16,Day0,0,19:49:04,Amu_D_VT_01,Amu,Acropora muricata,D,VT,Tank_1,Control,Dark,01,10,0.85,2.01,0.577,1,NA,NA,Indonesia,NA
3848845777,2021-12-16,Day0,0,19:49:37,Amu_C_ST_01,Amu,Acropora muricata,C,ST,Tank_1,Control,Dark,01,10,0.748,1.976,0.621,1,NA,NA,Indonesia,NA
3848845806,2021-12-16,Day0,0,19:50:06,Amu_A_Control_01,Amu,Acropora muricata,A,Ambient,Tank_1,Control,Dark,01,10,0.649,1.922,0.662,1,NA,NA,Indonesia,NA
3848845842,2021-12-16,Day0,0,19:50:42,Amu_B_Control_01,Amu,Acropora muricata,B,Ambient,Tank_1,Control,Dark,01,10,0.531,1.525,0.652,1,NA,NA,Indonesia,NA
3848845886,2021-12-16,Day0,0,19:51:26,Amu_B_VT_01,Amu,Acropora muricata,B,VT,Tank_1,Control,Dark,01,10,0.697,1.626,0.571,1,NA,NA,Indonesia,NA
3848845936,2021-12-16,Day0,0,19:52:16,Amu_C_VT_01,Amu,Acropora muricata,C,VT,Tank_1,Control,Dark,01,10,0.714,1.458,0.51,1,NA,NA,Indonesia,NA
3848845970,2021-12-16,Day0,0,19:52:50,Amu_A_VT_01,Amu,Acropora muricata,A,VT,Tank_1,Control,Dark,01,10,0.919,1.971,0.534,1,NA,NA,Indonesia,NA
3848846005,2021-12-16,Day0,0,19:53:25,Amu_D_ST_01,Amu,Acropora muricata,D,ST,Tank_1,Control,Dark,01,10,1.034,2.115,0.511,1,NA,NA,Indonesia,NA
3848846038,2021-12-16,Day0,0,19:53:58,Amu_A_ST_01,Amu,Acropora muricata,A,ST,Tank_1,Control,Dark,01,10,1.004,2.001,0.498,1,NA,NA,Indonesia,NA
3848846084,2021-12-16,Day0,0,19:54:44,Amu_B_ST_01,Amu,Acropora muricata,B,ST,Tank_1,Control,Dark,01,10,0.677,1.842,0.632,1,NA,NA,Indonesia,NA
3848850661,2021-12-16,Day0,0,21:11:01,Mdi_B_Control_02,Mdi,Montipora digitata,B,Ambient,Tank_10,Heat,Dark,02,10,0.559,1.458,0.617,1,NA,NA,Indonesia,NA
3848850718,2021-12-16,Day0,0,21:11:58,Mdi_D_Control_02,Mdi,Montipora digitata,D,Ambient,Tank_10,Heat,Dark,02,10,0.547,1.473,0.629,1,NA,NA,Indonesia,NA
3848850752,2021-12-16,Day0,0,21:12:32,Mdi_C_Control_02,Mdi,Montipora digitata,C,Ambient,Tank_10,Heat,Dark,02,10,0.563,1.482,0.62,1,NA,NA,Indonesia,NA
3848850776,2021-12-16,Day0,0,21:12:56,Mdi_A_ST_02,Mdi,Montipora digitata,A,ST,Tank_10,Heat,Dark,02,10,0.441,1.202,0.633,1,NA,NA,Indonesia,NA
3848850811,2021-12-16,Day0,0,21:13:31,Mdi_A_Control_02,Mdi,Montipora digitata,A,Ambient,Tank_10,Heat,Dark,02,10,0.559,1.555,0.641,1,NA,NA,Indonesia,NA
3848850835,2021-12-16,Day0,0,21:13:55,Mdi_C_ST_02,Mdi,Montipora digitata,C,ST,Tank_10,Heat,Dark,02,10,0.503,1.315,0.617,1,NA,NA,Indonesia,NA
3848850865,2021-12-16,Day0,0,21:14:25,Mdi_B_VT_02,Mdi,Montipora digitata,B,VT,Tank_10,Heat,Dark,02,10,0.491,1.176,0.582,1,NA,NA,Indonesia,NA
